"vuln_id","package","comment"
"CVE-2023-4039","gcc","Build-time only; AArch64-specific, not applicable on x86_64"
"CVE-.*","binutils","Build-time toolchain — not in runtime closure"
"CVE-.*","perl","Build-time dependency — Nix build scripts only"
"CVE-.*","gawk","Build-time dependency — autotools only"
"CVE-.*","patch","Build-time dependency — Nix patching phase only"
"CVE-2023-28115","snappy","PHP snappy extension, not Google C++ snappy compression"
"CVE-2023-41330","snappy","PHP snappy extension, not Google C++ snappy compression"
"CVE-2022-36882","git","Jenkins Git plugin CVE, not git-scm"
"CVE-2022-30947","git","Jenkins Git plugin CVE, not git-scm"
"CVE-2022-36883","git","Jenkins Git plugin CVE, not git-scm"
"CVE-2022-36884","git","Jenkins Git plugin CVE, not git-scm"
"CVE-2022-38663","git","Jenkins Git plugin CVE, not git-scm"
"CVE-2021-21684","git","Jenkins Git plugin CVE, not git-scm"
"CVE-2022-43410","mercurial","Jenkins Mercurial plugin, not hg"
"CVE-2021-28131","impala","Apache Impala database, not impala wifi TUI"
"CVE-2021-4048","lapack","Only exploitable if parsing untrusted LAPACK input"
"CVE-2026-34078","flatpak","Build dep of xdg-desktop-portal, not installed or running"
"CVE-2026-34079","flatpak","Build dep of xdg-desktop-portal, not installed or running"
"CVE-.*","flatpak","No flatpak apps installed (verified 2026-07-22). Transitive dep of xdg-desktop-portal."
"CVE-.*","bind","DNS server not running (verified 2026-07-22). Transitive dep pulled by systemd-resolved."
"CVE-.*","libarchive","Only opens verified trusted archives via automated pipeline. No untrusted input."
"CVE-.*","openexr","Image library — local trusted files only (Blender/GIMP)"
"CVE-.*","mujs","JS engine inside mupdf — only opens local/trusted PDFs"
"CVE-.*","libmad","MP3 decoder — local audio playback only"
"CVE-.*","libinput","Input device library — requires physical access to exploit"
"CVE-.*","inetutils","Basic network utilities (ping) — local tools, not services"
"CVE-.*","imagemagick","Local image conversion only — no untrusted web input"
"CVE-.*","ffmpeg","Local media playback — no untrusted network streams"
"CVE-.*","busybox","Minimal shell in initrd only — not user-accessible at runtime"
"CVE-.*","gpsd","GPS daemon — no GPS hardware connected to this machine"
"CVE-.*","gst-plugins-good","GStreamer media plugins — local playback only"
"CVE-.*","gstreamer","Multimedia framework — local playback, not network-facing"
"CVE-.*","avahi","mDNS/DNS-SD — private LAN only, not exposed to internet"
"CVE-.*","dnsmasq","DNS/DHCP on private LAN — not internet-facing"
"CVE-.*","assimp","3D asset import — local tools only"
"CVE-.*","matio","MATLAB file I/O — local scientific data only"
